メーカー名,略称,製錬所名,主な製錬金属,残渣や不純物より生産される金属,出資会社略号(合同出資会社)
三菱金属,MT,秋田製錬所,亜鉛,N/A,N/A
三菱金属,MT,直島製錬所,銅　錫,N/A,N/A
三菱金属,MT,大阪製錬所,銅　金　銀,N/A,N/A
三菱金属,MT,生野製錬所,錫,N/A,N/A
三菱金属,MT,細倉製錬所,亜鉛　鉛　錫,ビスマス,N/A
三井金属鉱業,MI,三池製煉所,亜鉛,N/A,N/A
三井金属鉱業,MI,日々製煉所,銅,N/A,N/A
三井金属鉱業,MI,竹原製煉所,銅　鉛,セレン テルル 金 銀,N/A
三井金属鉱業,MI,彦島製煉所,亜鉛,N/A,N/A
三井金属鉱業,MI,神岡鉱山,亜鉛　鉛,ビスマス 金 銀,N/A
三井金属鉱業,MI,三井串木野鉱山(株),金　銀,N/A,N/A
住友金属鉱山,SU,東予製錬所,銅　金　銀,N/A,N/A
住友金属鉱山,SU,四阪島製錬所,銅　ニッケル,N/A,N/A
住友金属鉱山,SU,国富製錬所,銅,銀 ビスマス,N/A
住友金属鉱山,SU,住鉱アイ・エス・ピー,亜鉛　鉛,N/A,N/A
住友金属鉱山,SU,日向製錬所(株),フェロニッケル,N/A,N/A
日本鉱業,NK,日立製錬所,銅,セレン 金 銀 白金 パラジウム,N/A
日本鉱業,NK,佐賀関製錬所,銅　鉛　フェロニッケル,金 セレン,N/A
日本鉱業,NK,三日市製錬所,亜鉛,N/A,N/A
日本鉱業,NK,敦賀製錬所,亜鉛,N/A,N/A
東邦亜鉛,TH,安中製錬所,亜鉛,N/A,N/A
東邦亜鉛,TH,小名浜製錬所,亜鉛　ニッケル,N/A,N/A
東邦亜鉛,TH,藤岡製錬所,鉄（電解）,N/A,N/A
東邦亜鉛,TH,契島製錬所,鉛,金 銀 ビスマス,N/A
古河鉱業,FU,足尾製錬所,銅,N/A,N/A
同和鉱業,DO,小坂製錬所,銅　鉛,金 銀 ビスマス アンチモン,N/A
日曹金属,NM,会津製錬所,亜鉛,N/A,N/A
大平洋金属,N/A,八戸工場,フェロニッケル,N/A,N/A
大平洋金属,N/A,新発田工場,フェロニッケル　フェロマンガン,N/A,N/A
日本冶金工業,N/A,大江山製造所,フェロニッケル,N/A,N/A
共同出資会社,N/A,八戸製錬所,亜鉛　鉛　カドミウム,N/A,MI DO NK MT TH NM
共同出資会社,N/A,飯島製錬所,亜鉛,N/A,DO NK SU MI MT TH
共同出資会社,N/A,玉野製錬所,銅,N/A,MI FU 日鉄鉱業
