グループ,元売会社,製油所所在地,処理能力 (B/D),備考
共同石油,日本鉱業,水島,235200,N/A
共同石油,日本鉱業,船川,14150,N/A
共同石油,東亜石油,川崎,100000,N/A
共同石油,東亜共石,名古屋,100000,N/A
共同石油,アジア石油,函館,25000,N/A
共同石油,アジア石油,横浜,100000,N/A
共同石油,アジア共石,坂出,100000,N/A
共同石油,富士石油,袖ヶ浦,178500,N/A
共同石油,鹿島石油,鹿島,135000,N/A
共同石油,富士石油,全体,210000,※15%は大協石油と取引
共同石油,鹿島石油,全体,180000,※25%は大協石油と取引
日本石油,日本石油,新潟,26000,N/A
日本石油,日本石油精製,横浜,70000,N/A
日本石油,日本石油精製,下松,42000,N/A
日本石油,日本石油精製,室蘭,110000,N/A
日本石油,日本石油精製,根岸,330000,N/A
日本石油,東洋石油精製,中城,28000,N/A
日本石油,日本海石油,富山,60000,N/A
日本石油,興亜石油,麻里布,149000,N/A
日本石油,興亜石油,大阪,80000,N/A
出光興産,出光興産,徳山,140000,N/A
出光興産,出光興産,千葉,310000,N/A
出光興産,出光興産,兵庫,110000,N/A
出光興産,出光興産,北海道,70000,N/A
出光興産,東邦石油,鷲尾,40000,N/A
出光興産,沖縄石油精製,沖縄,100000,N/A
ゼネラル石油(エッソ・モービル),ゼネラル石精,堺,120000,N/A
ゼネラル石油(エッソ・モービル),ゼネラル石精,川崎,55000,N/A
ゼネラル石油(エッソ・モービル),東亜燃料工業,川崎,200000,N/A
ゼネラル石油(エッソ・モービル),東亜燃料工業,和歌山,187000,N/A
ゼネラル石油(エッソ・モービル),東亜燃料工業,清水,43500,N/A
ゼネラル石油(エッソ・モービル),南西石油,西原,80000,N/A
昭和石油,昭和石油,川崎,149000,N/A
昭和石油,昭和石油,新潟,43000,N/A
昭和石油,昭和四日市石油,四日市,310000,N/A
昭和石油,西部石油,山口,110000,N/A
三菱石油,三菱石油,川崎,105000,N/A
三菱石油,三菱石油,水島,270000,N/A
三菱石油,東北石油,仙台,100000,N/A
丸善石油,丸善石油,下津,37500,N/A
丸善石油,丸善石油,松山,50000,N/A
丸善石油,丸善石油,千葉,195000,N/A
丸善石油,関西石油,堺,110000,N/A
大協石油,大協石油,四日市,195000,N/A
大協石油,富士石油,袖ヶ浦,41500,大協石油取引分
大協石油,鹿島石油,鹿島,45000,大協石油取引分
九州石油,九州石油,大分,170000,N/A
三井石油,極東石油工業,千葉,150000,N/A
キグナス石油,日網石油精製,川崎,100000,N/A
太陽石油,太陽石油,菊間,69000,N/A
その他,富士興産,海南,77600,N/A
その他,帝国石油(帝石トッピングプラント),頸城,4410,N/A
太陽石油,全体,全体,69000,N/A
共同石油,全体,全体,987850,N/A
日本石油,全体,全体,895000,N/A
出光興産,全体,全体,770000,N/A
ゼネラル石油(エッソ・モービル),全体,全体,685500,N/A
昭和石油,全体,全体,612000,N/A
三菱石油,全体,全体,475000,N/A
丸善石油,全体,全体,392500,N/A
大協石油,全体,全体,281500,N/A
九州石油,全体,全体,170000,N/A
三井石油,全体,全体,150000,N/A
キグナス石油,全体,全体,100000,N/A
