会社名,造船所・所属,工場名,設備名,能力(DWT),備考
三菱重工業,長崎造船所,長崎工場,建造ドック,200000,N/A
三菱重工業,長崎造船所,香焼工場,建造ドック,1000000,N/A
三菱重工業,神戸造船所,神戸工場,N/A,N/A,N/A
三菱重工業,下関造船所,江浦工場,N/A,N/A,N/A
三菱重工業,横浜造船所,横浜工場,N/A,N/A,N/A
三菱重工業,広島造船所,江波工場,N/A,N/A,N/A
石川島播磨重工業,N/A,東京第二工場,N/A,N/A,N/A
石川島播磨重工業,N/A,呉第一工場,第二建造ドック,300000,N/A
石川島播磨重工業,N/A,呉第一工場,第三建造ドック,800000,N/A
石川島播磨重工業,N/A,横浜第二工場,建造ドック,200000,N/A
石川島播磨重工業,N/A,知多工場,建造ドック,1000000,N/A
石川島播磨重工業,N/A,相生第一工場,建造ドック,180000,N/A
川崎重工業,N/A,神戸工場,第4船台,120000,N/A
川崎重工業,N/A,神戸工場,第7船台,29500,単位は[G/T]
川崎重工業,N/A,坂出工場,第1ドック,350000,N/A
川崎重工業,N/A,坂出工場,第3ドック,600000,N/A
日立造船,N/A,築港工場,1号ドック,20000,N/A
日立造船,N/A,築港工場,2号ドック,20000,N/A
日立造船,N/A,堺工場,1号ドック,260000,N/A
日立造船,N/A,因島工場,2号船台,186000,N/A
日立造船,N/A,因島工場,3号船台,130000,N/A
日立造船,N/A,向島工場,1号船台,24000,N/A
日立造船,N/A,向島工場,2号船台,36000,N/A
日立造船,N/A,舞鶴工場,1号船台,80000,N/A
日立造船,N/A,舞鶴工場,3号ドック,N/A,N/A
日立造船,N/A,神奈川工場,1号ドック,23000,N/A
日立造船,N/A,神奈川工場,2号ドック,40000,N/A
日立造船,N/A,有明工場,1号ドック,800000,N/A
日立造船,N/A,有明工場,2号ドック,500000,N/A
内海造船,N/A,瀬戸田工場,N/A,N/A,N/A
三井造船,玉野造船所,N/A,N/A,N/A,N/A
三井造船,千葉造船所,N/A,第2ドック,500000,N/A
三井造船,千葉造船所,N/A,第3ドック,500000,N/A
三井造船,藤永田造船所,N/A,N/A,N/A,N/A
三井造船,四国ドック,N/A,N/A,N/A,N/A
住友重機械工業,浦賀造船所,川間分工場,N/A,N/A,N/A
住友重機械工業,追浜造船所,N/A,N/A,750000,N/A
日本鋼管,鶴見造船所,N/A,2号船台,96000,単位は[G/T]
日本鋼管,鶴見造船所,N/A,5号船台,37000,単位は[G/T]
日本鋼管,清水造船所,N/A,1号船台,17000,単位は[G/T]
日本鋼管,清水造船所,N/A,2号船台,N/A,N/A
日本鋼管,津造船所,N/A,建造ドック,500000,N/A
佐世保重工業,N/A,N/A,第四ドック,300000,N/A
今治造船,N/A,今治工場,1号建造船台,37000,単位は[G/T]
今治造船,丸亀事業本部,N/A,1号船渠,130000,N/A
今治造船,丸亀事業本部,N/A,1号船台,70000,N/A
名村造船所,N/A,大阪工場,第一船渠,17000,単位は[G/T]
名村造船所,N/A,伊万里工場,N/A,N/A,N/A
佐野安船渠,大阪製造所,N/A,N/A,N/A,N/A
佐野安船渠,水島製造所,N/A,N/A,N/A,N/A
金指造船所,N/A,清水工場,N/A,N/A,N/A
金指造船所,N/A,豊橋工場,N/A,N/A,N/A
来島どっく,N/A,波止浜工場,N/A,N/A,N/A
来島どっく,N/A,大西工場,2号ドック,24000,単位は[G/T]
来島どっく,N/A,大西工場,3号ドック,75000,単位は[G/T]
宇和島造船,N/A,本社工場,N/A,N/A,N/A
函館ドック,N/A,函館工場,N/A,N/A,N/A
林兼造船,N/A,下関工場,N/A,N/A,N/A
林兼造船,N/A,長崎工場,N/A,N/A,N/A
大島造船所,N/A,本社工場,N/A,N/A,N/A
大阪造船所,N/A,本社工場,N/A,N/A,N/A
波止浜造船,N/A,多度津工場,N/A,N/A,N/A
常石造船,N/A,常石工場,建造ドック,120000,単位は[G/T]
尾道造船,尾道造船所,N/A,1号船台,26000,N/A
尾道造船,尾道造船所,N/A,2号船台,85000,N/A
幸陽船渠,N/A,本社工場,N/A,N/A,N/A
神田造船所,N/A,川尻工場,1号船台,12800,単位は[G/T]
神田造船所,N/A,川尻工場,2号船台,20000,単位は[G/T]
旭洋造船,N/A,本社工場,建造ドック,12500,単位は[G/T]
金輪船渠,N/A,本社工場,建造船台,13000,単位は[G/T]
笠戸船渠,N/A,本社工場,5号ドック,80000,単位は[G/T]
高知重工,N/A,本社工場,1号船台,N/A,N/A
高知重工,N/A,本社工場,2号船台,N/A,N/A
日本海重工業,N/A,本社工場,N/A,N/A,N/A
